onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
435.0	60.0	epochs	0.04	2.0	315.0
525.0	60.0	epochs	0.04	1.0	225.0
616.0	60.0	epochs			
706.0	60.0	epochs	0.04	2.0	270.0
797.0	60.0	epochs	0.04	1.0	315.0
887.0	60.0	epochs	0.04	2.0	270.0
978.0	60.0	epochs	0.04	1.0	0.0
1068.0	60.0	epochs	0.04	2.0	225.0
1159.0	60.0	epochs	0.04	2.0	315.0
1250.0	59.0	epochs	0.04	2.0	180.0
1340.0	60.0	epochs	0.04	1.0	90.0
1431.0	59.0	epochs	0.04	1.0	180.0
1521.0	60.0	epochs	0.04	1.0	225.0
1612.0	59.0	epochs			
1702.0	60.0	epochs	0.04	2.0	270.0
1793.0	59.0	epochs	0.04	2.0	135.0
1883.0	60.0	epochs	0.04	2.0	225.0
1974.0	60.0	epochs	0.04	2.0	135.0
2064.0	60.0	epochs	0.04	2.0	225.0
2155.0	60.0	epochs	0.04	1.0	0.0
2245.0	60.0	epochs	0.04	2.0	135.0
2336.0	60.0	epochs	0.04	1.0	0.0
2426.0	60.0	epochs	0.04	1.0	315.0
2517.0	60.0	epochs	0.04	2.0	270.0
2607.0	60.0	epochs	0.04	1.0	315.0
2698.0	60.0	epochs	0.04	2.0	0.0
2788.0	60.0	epochs	0.04	1.0	315.0
2879.0	60.0	epochs	0.04	1.0	0.0
2969.0	60.0	epochs	0.04	2.0	270.0
3060.0	60.0	epochs	0.04	2.0	180.0
3150.0	60.0	epochs	0.04	2.0	315.0
3241.0	60.0	epochs	0.04	1.0	180.0
3331.0	60.0	epochs	0.04	2.0	225.0
3422.0	60.0	epochs	0.04	2.0	225.0
3513.0	59.0	epochs	0.04	2.0	225.0
3603.0	60.0	epochs	0.04	1.0	270.0
3694.0	59.0	epochs	0.04	1.0	180.0
3784.0	60.0	epochs	0.04	2.0	0.0
3875.0	59.0	epochs	0.04	2.0	270.0
3965.0	60.0	epochs	0.04	1.0	315.0
4056.0	59.0	epochs	0.04	1.0	270.0
4146.0	60.0	epochs	0.04	2.0	180.0
4237.0	60.0	epochs	0.04	2.0	180.0
4327.0	60.0	epochs	0.04	1.0	225.0
4418.0	60.0	epochs	0.04	2.0	135.0
4508.0	60.0	epochs	0.04	1.0	135.0
4599.0	60.0	epochs	0.04	1.0	90.0
4689.0	60.0	epochs	0.04	1.0	45.0
4780.0	60.0	epochs	0.04	2.0	270.0
4870.0	60.0	epochs	0.04	2.0	180.0
4961.0	60.0	epochs	0.04	1.0	0.0
5051.0	60.0	epochs	0.04	2.0	45.0
