onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
435.0	60.0	epochs	0.04	2.0	315.0
526.0	60.0	epochs	0.04	2.0	90.0
616.0	60.0	epochs	0.04	1.0	180.0
707.0	60.0	epochs	0.04	2.0	0.0
797.0	60.0	epochs	0.04	1.0	0.0
888.0	60.0	epochs	0.04	2.0	90.0
978.0	60.0	epochs	0.04	1.0	315.0
1069.0	60.0	epochs	0.04	1.0	270.0
1160.0	59.0	epochs	0.04	2.0	270.0
1250.0	60.0	epochs	0.04	1.0	180.0
1341.0	59.0	epochs	0.04	2.0	135.0
1431.0	60.0	epochs	0.04	1.0	90.0
1522.0	59.0	epochs	0.04	2.0	135.0
1612.0	60.0	epochs	0.04	2.0	135.0
1703.0	60.0	epochs	0.04	1.0	315.0
1793.0	60.0	epochs	0.04	1.0	90.0
1884.0	60.0	epochs	0.04	2.0	135.0
1974.0	60.0	epochs	0.04	1.0	135.0
2065.0	60.0	epochs	0.04	1.0	135.0
2155.0	60.0	epochs	0.04	1.0	0.0
2246.0	60.0	epochs	0.04	2.0	270.0
2336.0	60.0	epochs	0.04	1.0	225.0
2427.0	60.0	epochs	0.04	1.0	0.0
2517.0	60.0	epochs	0.04	2.0	270.0
2608.0	60.0	epochs	0.04	1.0	45.0
2698.0	60.0	epochs	0.04	2.0	90.0
2789.0	60.0	epochs	0.04	1.0	315.0
2879.0	60.0	epochs	0.04	2.0	180.0
2970.0	60.0	epochs	0.04	2.0	135.0
3061.0	59.0	epochs	0.04	1.0	225.0
3151.0	60.0	epochs	0.04	2.0	135.0
3242.0	59.0	epochs	0.04	1.0	0.0
3332.0	60.0	epochs	0.04	2.0	135.0
3423.0	59.0	epochs			
3513.0	60.0	epochs	0.04	1.0	225.0
3604.0	60.0	epochs	0.04	2.0	180.0
3694.0	60.0	epochs			
3785.0	60.0	epochs	0.04	1.0	270.0
3875.0	60.0	epochs	0.04	1.0	180.0
3966.0	60.0	epochs	0.04	1.0	180.0
4056.0	60.0	epochs	0.04	2.0	225.0
4147.0	60.0	epochs	0.04	1.0	315.0
4237.0	60.0	epochs	0.04	2.0	135.0
4328.0	60.0	epochs	0.04	2.0	225.0
4418.0	60.0	epochs	0.04	2.0	0.0
4509.0	60.0	epochs	0.04	2.0	0.0
4599.0	60.0	epochs	0.04	2.0	315.0
4690.0	60.0	epochs			
4780.0	60.0	epochs	0.04	2.0	315.0
4871.0	60.0	epochs	0.04	1.0	315.0
4962.0	59.0	epochs	0.04	1.0	225.0
5052.0	60.0	epochs	0.04	1.0	180.0
5143.0	59.0	epochs	0.04	1.0	45.0
5233.0	60.0	epochs	0.04	2.0	270.0
5324.0	59.0	epochs	0.04	1.0	45.0
5414.0	60.0	epochs	0.04	2.0	45.0
5505.0	60.0	epochs	0.04	2.0	225.0
5595.0	60.0	epochs	0.04	1.0	270.0
5686.0	60.0	epochs	0.04	1.0	135.0
5776.0	60.0	epochs	0.04	1.0	135.0
5867.0	60.0	epochs	0.04	2.0	315.0
5957.0	60.0	epochs	0.04	1.0	225.0
6048.0	60.0	epochs	0.04	2.0	45.0
6138.0	60.0	epochs	0.04	2.0	0.0
6229.0	60.0	epochs			
6319.0	60.0	epochs	0.04	2.0	315.0
6410.0	60.0	epochs	0.04	2.0	225.0
6500.0	60.0	epochs	0.04	1.0	0.0
6591.0	60.0	epochs	0.04	2.0	135.0
6681.0	60.0	epochs	0.04	1.0	315.0
6772.0	60.0	epochs	0.04	2.0	315.0
6863.0	59.0	epochs	0.04	2.0	270.0
6953.0	60.0	epochs	0.04	1.0	315.0
7044.0	59.0	epochs	0.04	1.0	225.0
7134.0	60.0	epochs	0.04	2.0	45.0
7225.0	59.0	epochs	0.04	2.0	225.0
7315.0	60.0	epochs			
7406.0	60.0	epochs	0.04	2.0	180.0
7496.0	60.0	epochs	0.04	2.0	180.0
7587.0	60.0	epochs	0.04	1.0	180.0
7677.0	60.0	epochs	0.04	2.0	135.0
7768.0	60.0	epochs	0.04	1.0	225.0
7858.0	60.0	epochs	0.04	2.0	270.0
7949.0	60.0	epochs	0.04	2.0	270.0
8039.0	60.0	epochs	0.04	1.0	315.0
8130.0	60.0	epochs	0.04	2.0	45.0
8220.0	60.0	epochs	0.04	1.0	315.0
8311.0	60.0	epochs	0.04	1.0	135.0
8401.0	60.0	epochs			
8492.0	60.0	epochs	0.04	1.0	45.0
8582.0	60.0	epochs	0.04	2.0	180.0
8673.0	60.0	epochs	0.04	1.0	90.0
